cnty_fips,county,state,Value,theme_range
30111,Yellowstone,Montana,157816,91049.1 - 10098052 (644)
38001,Adams,North Dakota,2351,75 - 9055 (644)
38003,Barnes,North Dakota,10836,9055.1 - 19054 (644)
38005,Benson,North Dakota,6886,75 - 9055 (644)
38007,Billings,North Dakota,946,75 - 9055 (644)
38009,Bottineau,North Dakota,6589,75 - 9055 (644)
38011,Bowman,North Dakota,3195,75 - 9055 (644)
38013,Burke,North Dakota,2213,75 - 9055 (644)
38015,Burleigh,North Dakota,93737,91049.1 - 10098052 (644)
38017,Cass,North Dakota,174202,91049.1 - 10098052 (644)
38019,Cavalier,North Dakota,3824,75 - 9055 (644)
38021,Dickey,North Dakota,4970,75 - 9055 (644)
38023,Divide,North Dakota,2369,75 - 9055 (644)
38025,Dunn,North Dakota,4387,75 - 9055 (644)
38027,Eddy,North Dakota,2313,75 - 9055 (644)
38029,Emmons,North Dakota,3352,75 - 9055 (644)
38031,Foster,North Dakota,3290,75 - 9055 (644)
38033,Golden Valley,North Dakota,1882,75 - 9055 (644)
38035,Grand Forks,North Dakota,70400,36769.1 - 91049 (644)
38037,Grant,North Dakota,2380,75 - 9055 (644)
38039,Griggs,North Dakota,2266,75 - 9055 (644)
38041,Hettinger,North Dakota,2576,75 - 9055 (644)
38043,Kidder,North Dakota,2460,75 - 9055 (644)
38045,LaMoure,North Dakota,4100,75 - 9055 (644)
38047,Logan,North Dakota,1927,75 - 9055 (644)
38049,McHenry,North Dakota,5927,75 - 9055 (644)
38051,McIntosh,North Dakota,2654,75 - 9055 (644)
38053,McKenzie,North Dakota,12536,9055.1 - 19054 (644)
38055,McLean,North Dakota,9608,9055.1 - 19054 (644)
38057,Mercer,North Dakota,8570,75 - 9055 (644)
38059,Morton,North Dakota,30544,19054.1 - 36769 (644)
38061,Mountrail,North Dakota,10152,9055.1 - 19054 (644)
38063,Nelson,North Dakota,2920,75 - 9055 (644)
38065,Oliver,North Dakota,1837,75 - 9055 (644)
38067,Pembina,North Dakota,7016,75 - 9055 (644)
38069,Pierce,North Dakota,4210,75 - 9055 (644)
38071,Ramsey,North Dakota,11557,9055.1 - 19054 (644)
38073,Ransom,North Dakota,5361,75 - 9055 (644)
38075,Renville,North Dakota,2495,75 - 9055 (644)
38077,Richland,North Dakota,16288,9055.1 - 19054 (644)
38079,Rolette,North Dakota,14603,9055.1 - 19054 (644)
38081,Sargent,North Dakota,3883,75 - 9055 (644)
38083,Sheridan,North Dakota,1405,75 - 9055 (644)
38085,Sioux,North Dakota,4413,75 - 9055 (644)
38087,Slope,North Dakota,704,75 - 9055 (644)
38089,Stark,North Dakota,30876,19054.1 - 36769 (644)
38091,Steele,North Dakota,1910,75 - 9055 (644)
38093,Stutsman,North Dakota,21064,19054.1 - 36769 (644)
38095,Towner,North Dakota,2246,75 - 9055 (644)
38097,Traill,North Dakota,8019,75 - 9055 (644)
38099,Walsh,North Dakota,10802,9055.1 - 19054 (644)
38101,Ward,North Dakota,69034,36769.1 - 91049 (644)
38103,Wells,North Dakota,4055,75 - 9055 (644)
38105,Williams,North Dakota,34061,19054.1 - 36769 (644)
41001,Baker,Oregon,15984,9055.1 - 19054 (644)
41049,Morrow,Oregon,11215,9055.1 - 19054 (644)
41059,Umatilla,Oregon,76898,36769.1 - 91049 (644)
41061,Union,Oregon,26028,19054.1 - 36769 (644)
41063,Wallowa,Oregon,6924,75 - 9055 (644)
46013,Brown,South Dakota,38840,36769.1 - 91049 (644)
46019,Butte,South Dakota,10177,9055.1 - 19054 (644)
46021,Campbell,South Dakota,1435,75 - 9055 (644)
46025,Clark,South Dakota,3673,75 - 9055 (644)
46029,Codington,South Dakota,27993,19054.1 - 36769 (644)
46031,Corson,South Dakota,4168,75 - 9055 (644)
46037,Day,South Dakota,5506,75 - 9055 (644)
46039,Deuel,South Dakota,4306,75 - 9055 (644)
46041,Dewey,South Dakota,5779,75 - 9055 (644)
46045,Edmunds,South Dakota,3940,75 - 9055 (644)
46049,Faulk,South Dakota,2322,75 - 9055 (644)
46051,Grant,South Dakota,7217,75 - 9055 (644)
46057,Hamlin,South Dakota,6000,75 - 9055 (644)
46063,Harding,South Dakota,1311,75 - 9055 (644)
46089,McPherson,South Dakota,2364,75 - 9055 (644)
46091,Marshall,South Dakota,4895,75 - 9055 (644)
46105,Perkins,South Dakota,2907,75 - 9055 (644)
46107,Potter,South Dakota,2326,75 - 9055 (644)
46109,Roberts,South Dakota,10285,9055.1 - 19054 (644)
46115,Spink,South Dakota,6543,75 - 9055 (644)
46119,Sully,South Dakota,1331,75 - 9055 (644)
46129,Walworth,South Dakota,5510,75 - 9055 (644)
46137,Ziebach,South Dakota,2814,75 - 9055 (644)
53001,Adams,Washington,19452,19054.1 - 36769 (644)
53003,Asotin,Washington,22337,19054.1 - 36769 (644)
53005,Benton,Washington,194168,91049.1 - 10098052 (644)
53013,Columbia,Washington,4001,75 - 9055 (644)
53017,Douglas,Washington,41371,36769.1 - 91049 (644)
53019,Ferry,Washington,7576,75 - 9055 (644)
53021,Franklin,Washington,90660,36769.1 - 91049 (644)
